amfi_code,scheme_name,alpha,beta
148567,Mirae Asset Large Cap Fund - Regular - Growth,26.98375144191807,0.023683558075848623
120505,ICICI Pru Midcap Fund - Regular - Growth,29.26358334175106,0.000549004250631712
120843,Kotak Flexicap Fund - Regular - Growth,27.330465038306055,-0.02282956979242654
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,27.19535450128533,0.0051035258305283104
120504,ICICI Pru Bluechip Fund - Direct - Growth,21.19482701352573,0.016232169761417007
119094,Axis Midcap Fund - Regular - Growth,26.07666908004223,-0.06626542862803757
119551,SBI Bluechip Fund - Regular Plan - Growth,23.201007160635083,-0.03175144113890972
148569,Mirae Asset Tax Saver Fund - Regular - Growth,28.27036785246582,0.018133884083859245
101206,ABSL Frontline Equity Fund - Regular - Growth,21.399784776051213,0.02108631625012803
119598,SBI Small Cap Fund - Regular Plan - Growth,30.336965386983323,-0.023196062044059693
149323,DSP Midcap Fund - Regular - Growth,26.598577542043046,-0.002523004664699247
149324,DSP Small Cap Fund - Regular - Growth,30.05787817097677,0.011455159960520708
118632,Nippon India Large Cap Fund - Regular - Growth,21.829397904608644,-0.008353832126962021
119552,SBI Bluechip Fund - Direct Plan - Growth,19.86859936686296,-0.026159307513513405
125497,HDFC Top 100 Fund - Direct Plan - Growth,17.729754927531765,0.04882040425957739
118635,Nippon India ETF Nifty 50 BeES,15.136354648239239,-0.001433521389780133
118633,Nippon India Large Cap Fund - Direct - Growth,15.643835948169668,-0.03663900671860934
102885,UTI Nifty 50 Index Fund - Regular - Growth,17.048756803412697,-0.019486785689474526
120503,ICICI Pru Bluechip Fund - Regular - Growth,17.703302365844074,-0.0402689523698206
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,20.873010086942337,-0.026387719943843004
120506,ICICI Pru Value Discovery Fund - Regular - Growth,16.25385327998104,0.04189646272811977
120507,ICICI Pru Liquid Fund - Regular - Growth,6.746210411099539,-0.0004440926329707234
119093,Axis Bluechip Fund - Direct - Growth,8.232801295222094,0.02588321244009315
102887,UTI Flexi Cap Fund - Regular - Growth,16.211256794033254,0.016682689437770827
149322,DSP Top 100 Equity Fund - Regular - Growth,13.173190226099432,-0.004050271130006534
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,11.98910097121797,0.009054412621739154
120844,Kotak Liquid Fund - Regular - Growth,6.4556774953759986,-0.00040074423947840013
120841,Kotak Bluechip Fund - Regular - Growth,13.042924450705446,0.036356399022199795
118634,Nippon India Small Cap Fund - Regular - Growth,17.50072167561127,0.1034966369133759
118636,Nippon India Gilt Securities Fund - Regular - Growth,5.074772999976104,0.0012566742731558458
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,5.620895216638369,-0.006413850728276477
101208,ABSL Liquid Fund - Regular - Growth,6.086145795787115,0.00026670968338238433
100025,HDFC Short Term Debt Fund - Regular - Growth,4.281792031506088,0.0011582183155281463
120842,Kotak Emerging Equity Fund - Regular - Growth,7.80443887615508,0.01805687420811816
119599,SBI Small Cap Fund - Direct Plan - Growth,4.882421594553985,0.06200180438267168
119092,Axis Bluechip Fund - Regular - Growth,6.899529821677549,0.009730745001153637
101207,ABSL Small Cap Fund - Regular - Growth,10.897091901704538,-0.06528924788351524
119095,Axis Small Cap Fund - Regular - Growth,4.801595363775955,-0.066951174639292
100016,HDFC Top 100 Fund - Regular Plan - Growth,3.747580763443281,-0.0582684314388089
102886,UTI Mid Cap Fund - Regular - Growth,2.8969397866379443,-0.04212502902189432
